variable_name,description,category,wave,n_nonmissing,n_missing,dtype
ID,Unique participant identifier,Identifiers,Non-wave,25873,0,Integer
gender_wave1,"Sex (0=male, 1=female)",Demographics,Wave 1,13095,12778,Continuous (float)
nation_wave1,"Ethnicity (1=Han, 0=other)",Demographics,Wave 1,13567,12306,Continuous (float)
hibpe_wave1,"Hypertension (1=self-reported diagnosis, 0=no)",Disease History,Wave 1,17470,8403,Continuous (float)
dyslipe_wave1,"Dyslipidemia (1=self-reported diagnosis, 0=no)",Disease History,Wave 1,17213,8660,Continuous (float)
diabe_wave1,"Diabetes (1=self-reported diagnosis, 0=no)",Disease History,Wave 1,17408,8465,Continuous (float)
cancre_wave1,"Cancer (1=self-reported diagnosis, 0=no)",Disease History,Wave 1,17486,8387,Continuous (float)
lunge_wave1,"Chronic lung disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 1,17496,8377,Continuous (float)
livere_wave1,"Liver disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 1,17438,8435,Continuous (float)
hearte_wave1,"Heart disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 1,17467,8406,Continuous (float)
stroke_wave1,"Stroke (1=self-reported diagnosis, 0=no)",Disease History,Wave 1,17526,8347,Continuous (float)
kidneye_wave1,"Kidney disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 1,17452,8421,Continuous (float)
digeste_wave1,"Digestive disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 1,17517,8356,Continuous (float)
psyche_wave1,"Psychiatric/emotional problems (1=self-reported diagnosis, 0=no)",Disease History,Wave 1,17490,8383,Continuous (float)
memrye_wave1,"Memory-related disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 1,17507,8366,Continuous (float)
arthre_wave1,"Arthritis/rheumatism (1=self-reported diagnosis, 0=no)",Disease History,Wave 1,17524,8349,Continuous (float)
asthmae_wave1,"Asthma (1=self-reported diagnosis, 0=no)",Disease History,Wave 1,17497,8376,Continuous (float)
doctor_time_wave1,Number of outpatient visits (past month),Healthcare Utilization,Wave 1,17330,8543,Continuous (float)
hospital_time_wave1,Number of inpatient admissions (past year),Healthcare Utilization,Wave 1,17506,8367,Continuous (float)
da042s1_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
da042s2_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
da042s3_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
da042s4_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
da042s5_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
da042s6_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
da042s7_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
da042s8_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
da042s9_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
da042s10_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
da042s11_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
da042s12_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
da042s13_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
da042s14_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
da042s15_wave1,,Healthcare Utilization,Wave 1,17510,8363,Continuous (float)
sleep_wave1,Average sleep duration (hours/night),Lifestyle & Behavior,Wave 1,16091,9782,Continuous (float)
act_1_wave1,,Lifestyle & Behavior,Wave 1,16224,9649,Continuous (float)
act_2_wave1,,Lifestyle & Behavior,Wave 1,16224,9649,Continuous (float)
act_3_wave1,,Lifestyle & Behavior,Wave 1,16224,9649,Continuous (float)
act_4_wave1,,Lifestyle & Behavior,Wave 1,16224,9649,Continuous (float)
act_5_wave1,,Lifestyle & Behavior,Wave 1,16224,9649,Continuous (float)
act_6_wave1,,Lifestyle & Behavior,Wave 1,16224,9649,Continuous (float)
act_7_wave1,,Lifestyle & Behavior,Wave 1,16224,9649,Continuous (float)
act_8_wave1,,Lifestyle & Behavior,Wave 1,16224,9649,Continuous (float)
iwy_wave1,"Individual wage (annual, yuan)",Work & Income,Wave 1,17708,8165,Continuous (float)
iwm_wave1,"Individual income (annual, yuan)",Work & Income,Wave 1,17708,8165,Continuous (float)
retire_wave1,"Retirement status (1=retired, 0=not)",Work & Income,Wave 1,17124,8749,Continuous (float)
rural_wave1,"Rural residence (1=rural, 0=urban)",Demographics,Wave 1,17708,8165,Continuous (float)
family_size_wave1,Number of household members,Demographics,Wave 1,17708,8165,Continuous (float)
marry_wave1,"Marital status (1=married/partnered, 0=other)",Demographics,Wave 1,17675,8198,Continuous (float)
rural2_wave1,Rural residence (alternative coding),Demographics,Wave 1,17663,8210,Continuous (float)
srh_wave1,"Self-rated health (1=very good, 5=very poor)",Self-rated Health,Wave 1,17561,8312,Continuous (float)
smokev_wave1,"Smoking status (0=never, 1=former, 2=current)",Lifestyle & Behavior,Wave 1,17559,8314,Continuous (float)
smoken_wave1,Cigarettes per day (current smokers),Lifestyle & Behavior,Wave 1,16907,8966,Continuous (float)
drinkl_wave1,Alcohol consumption frequency,Lifestyle & Behavior,Wave 1,17552,8321,Continuous (float)
vgact_c_wave1,,Lifestyle & Behavior,Wave 1,6918,18955,Continuous (float)
mdact_c_wave1,,Lifestyle & Behavior,Wave 1,6914,18959,Continuous (float)
ltact_c_wave1,,Lifestyle & Behavior,Wave 1,6899,18974,Continuous (float)
memeory_wave1,Memory score component,Cognitive Function,Wave 1,14010,11863,Continuous (float)
executive_wave1,Executive function score component,Cognitive Function,Wave 1,14011,11862,Continuous (float)
total_cognition_wave1,Total cognitive function score,Cognitive Function,Wave 1,12694,13179,Continuous (float)
cesd10_wave1,CESD-10 depression score (range 0-30),Depression,Wave 1,16037,9836,Continuous (float)
hhcperc_wave1,Household consumption per capita,Living Arrangements,Wave 1,14769,11104,Continuous (float)
hchild_wave1,Number of living children,Living Arrangements,Wave 1,17708,8165,Continuous (float)
pension_wave1,Pension receipt status,Insurance & Social Security,Wave 1,13553,12320,Continuous (float)
ins_wave1,Health insurance type,Insurance & Social Security,Wave 1,17467,8406,Continuous (float)
